Model,Fuel Type,Price,Description,Kilometers Driven,Model Year,Brand,specific_model
Hyundai i20 Magna 2009 Buy in Kathmandu Nepal,,"NRs 15,25,000",Single Handed Hyundai i20 Magna 2009 in Brand New condition. Nothing to spend on. Never been in any accidents. With only 22000 Km. Still in […],,,,i20 Magna Buy in Kathmandu Nepal
Maruti Suzuki Swift Dzire VXI 2013 Buy in Kathmandu Nepal,,"NRs 19,75,000","Single Handed Suzuki Dzire VXI 2013 in Brand New condition. Nothing to spend on. Never been in any accidents. Excellent milage, low maintenance cost and […]",,,,Swift Dzire VXI Buy in Kathmandu Nepal
Hyundai i20 Sportz 2010 Buy in Kathmandu Nepal,,"NRs 16,00,000","Hyundai i20 Sportz in excellent condition. Nothing to spend on. Never been in any accidents. Comes with single Airbag, Steering mounted controller, Auto Air Conditioning […]",,,,i20 Sportz Buy in Kathmandu Nepal
Hyundai i10 Magna 1.2 2010 Buy in Kathmandu Nepal,,"NRs 14,75,000",Single Handed Hyundai i10 Magna in Excellent condition. Nothing to spend on. Never been in any accidents. Excellent resale value. Low maintenance cost.,,,,i10 Magna 1.2 Buy in Kathmandu Nepal
Hyundai Eon Era+  2013  Buy in Kathmandu Nepal,,"NRs 13,25,000",Single Handed Hyundai Eon Era+ in Excellent condition. Nothing to spend on. Never been in any accidents. Excellent milage. Low maintenance cost.,,,,Eon Era Buy in Kathmandu Nepal
Hyundai iGen i20 Asta 2013 Buy in Kathmandu Nepal,,"NRs 24,00,000",Single Handed Hyundai iGen i20 Asta in Excellent condition. Nothing to spend on. Never been in any accidents. With only 16000 Km. Comes with: Dual […],,,,iGen i20 Asta Buy in Kathmandu Nepal
Zyote 2008 Buy in Kathmandu Nepal,,"NRs 9,75,000",Single Handed Zyote 2008 in Excellent condition. Nothing to spend on. Never been in any accidents. Excellent ground clearance. Driven by a lady doctor.,,,,Zyote Buy in Kathmandu Nepal
Honda City 1.5 VX MT  2016 Buy in Kathmandu Nepal,,"NRs 42,00,000",Single Handed Honda City VX MT 2016 in Brand New condition. Nothing to spend on. Never been in any accidents. Fresh as New. Comes with: […],,,,City 1.5 VX MT Buy in Kathmandu Nepal
Ford Figo Titanium 2013 buy in Kathmandu Nepal,,"NRs 16,00,000",Ford Figo Titanium 2013 in Brand New condition. Nothing to spend on. Never been in any accidents. With only 15000 KM. Comes with Dual Air […],,,,Figo Titanium buy in Kathmandu Nepal
Suzuki Swift 2007 VXI Buy in Kathmandu Nepal,,"NRs 12,25,000",Single Handed Suzuki Swift VXI in Brand New condition. Nothing to Spend on. Never been in any accidents. With only 55000 Km. First to see […],,,,Swift VXI Buy in Kathmandu Nepal
Toyota Echo 2000 Buy in Kathmandu Nepal,,"NRs 9,00,000","Single handed Toyota Echo in excellent condition. Nothing to spend on. Driver by a single lady. Low Kms. Comes with Dual Airbags, ABS.",,,,Echo Buy in Kathmandu Nepal
Kia Sportage Auto Gear 2001 Buy in Kathmandu Nepal,,"NRs 900,000.00",Auto Gear Full Option with 4WD Kia Sportage in good condition. Driven by a foreigner. Need to sell it Urgently.,,,,Sportage Auto Gear Buy in Kathmandu Nepal
Hyundai Grand i10 Asta 2014 Buy in Kathmandu Nepal,,"NRs 24,00,000",Single Handed Hyundai Grand i10 Asta in brand new condition. Nothing to spend on. Never been in any accidents. Have run only 12000 Km. Comes […],,,,Grand i10 Asta Buy in Kathmandu Nepal
Daihatsu Terios 4WD 2002 Buy in Kathmandu Nepal,,"NRs 15,75,000",Daihatsu Terios in excellent running condition. Nothing to spend on. Never been in any accidents. Excellent Milage with good ground clearance and 4WD.,,,,Daihatsu Terios 4WD Buy in Kathmandu Nepal
Hyundai i10 Magna 1.2 2010 Buy in Kathmandu Nepal,,"NRs 1,475,000.00",Single handed Hyundai i10 Magna in excellent condition. Nothing to spend on. Never been in any accidents. Excellent resale value.,,,,i10 Magna 1.2 Buy in Kathmandu Nepal
Ford Figo EXI 2012 buy in Kathmandu Nepa,,"NRs 13,50,000",Single Handed Ford Figo EXI 2012 in Brand New condition. Nothing to spend on. Never been in any accidents.,,,,Figo EXI buy in Kathmandu Nepa
Ford EcoSport 1.5 Titanium Petrol 2014 Buy in Kathmandu Nepal,,"NRs 29,50,000","Limited Edition Colour Ford Eco Sport Titanium 2014 in excellent condition. Nothing to spend on. Single Handed. Excellent power, Good clearance.",,,,EcoSport 1.5 Titanium Petrol Buy in Kathmandu Nepal
Opel Corsa 1.4 2004 Buy in Kathmandu Nepal,,"NRs 5,25,000",Single Handed Opel corsa in excellent condition. Nothing to spend on. Never been in any accidents. Cheap price.,,,,Opel Corsa 1.4 Buy in Kathmandu Nepal
Maruti Suzuki Van 2000 Buy in Kathmandu Nepal,,"NRs 4,35,000",Maruti Omni Van 8 seater in excellent condition. Nothing to spend on. Never been in any accidents.,,,,Van Buy in Kathmandu Nepal
Hyundai Santro GLS 2009 Buy in Kathmandu Nepal,,"NRs 11,50,000",Hyundai Santro in excellent condition. Nothing to spend on. Never been in any accidents. Good resale value. Low maintenance cost.,,,,Santro GLS Buy in Kathmandu Nepal
Tata Grande GX 2009 Buy in Kathmandu Nepal,,"NRs 14,25,000",Tata Grande in excellent condition. Nothing to spend on. Never been in any accidents. Diesel engine with excellent Milage. 8 Seater SUV.,,,,Grande GX Buy in Kathmandu Nepal
Maruti Suzuki Swift VXi 2009 Buy in Kathmandu Nepal,,"NRs 1,500,000.00",Single Handed Suzuki Swift in Brand New condition. Nothing to spend on. Never been in any accidents. Low Maintenance cost. Good resale value,,,,Swift VXi Buy in Kathmandu Nepal
Hyundai Santro Xing XO 2006 Buy in Kathmandu Nepal,,"NRs 10,25,000",Hyundai Santro in excellent condition. Nothing to spend on. Never been in any accidents. Very reliable car. Low Maintenance cost.,,,,Santro Xing XO Buy in Kathmandu Nepal
Kia Picanto Ex 2008 Buy in Kathmandu Nepal,,"NRs 10,75,000",Kia Picanto in excellent condition. Nothing to spend on. Never been in any accidents.,,,,Picanto Ex Buy in Kathmandu Nepal
Hyundai Santro GL Plus 2013 Buy in Kathmandu Nepal,,"NRs 14,50,000",Hyundai Santro in Immaculate condition. Nothing to spend on. Never been in any accidents. Excellent resale value. Low Maintenance cost.,,,,Santro GL Plus Buy in Kathmandu Nepal
"Mazda 3 Fully Loaded, V GRADE(Auto HeadLight, Auto Wipers)",,"NRs 15,50,000","Excellent conditon Japanese Luxury Mazda 3 in Brand new condition Nothing to spend on. Never been in any accidents. Fully Loaded, Comes with Dual Airbags, […]",,,,Mazda 3 V GRADE(Auto HeadLight Auto Wipers
"Maruti Suzuki Alto Vxi in excellent condition, Full Option",,"NRs 5,15,000",Presenting you with excellent condition full option Alto Vx Cheap to run and in excellent condition. Tax and Insurance inclusive. More info on: Enquiries: 9801118668 […],,,,Alto Vxi in excellent condition Full Option
Tata Nano CX A/C 2012,,"NRs 4,35,000","Excellent condition, Low km with AC working excellent. Economical Value for money. First to see will definitely buy Only for NRs 4,35,000/- or Nearest Offer. […]",,,,Nano CX A/C
Hyundai Eon Magna + 2015 Buy in Kathmandu Nepal,,"NRs 15,25,000","Single handed HYUNDAI Eon Magna plus 1000cc, 2015 in immaculate condition. nothing to spend on. First to see will definitely buy Only for NRs 15,25,000/- […]",,,,Eon Magna  Buy in Kathmandu Nepal
Hyundai Grand i10 Asta *Full option* 9000k km Only.,,"NRs 23,99,000","Single Handed Hyundai Grand i10 Asta 2014 in immaculate condition. Full Accessories Never been in any accidents. Comes with Dual Airbags, ABS, Alloy Wheels, Key […]",,,,Grand i10 Asta Full option 9000k Only
Honda Brio 1.2 Ultimate city car Buy in Kathmandu,,"NRs 15,75,000","The Ultimate city car with ample power to weight ratio, that means great pick up and excellent mileage. Single handed and free from major accidents […]",,,,Brio 1.2 Ultimate city car Buy in Kathmandu
Hyundai i10 Magna 1.2 Silver Excellent ConditionBuy in Kathmandu Nepal,,"NRs 15,25,000",Single handed hyundai i10 magna 1200 CC in brand new condition. Nothing to spend on. Never been in any accidents. Excellent resale value. First to […],,,,i10 Magna 1.2 Silver Excellent ConditionBuy in Kathmandu Nepal
Hyundai Xcent Kappa S 2014 Buy in Kathmandu Nepal,,"NRs 22,00,000","Single Handed Hyundai Xcent s in excellent condition. Nothing to spend on. Beautiful With Factory reverse sensors, Foldable mirror, Bluetooth handsFree, Sterring control,Abs and many […]",,,,Xcent Kappa S Buy in Kathmandu Nepal
Hyundai Eon Era+  2012  Buy in Kathmandu Nepal,,"NRs 12,50,000",Single handed HYUNDAI Eon era plus in immaculate condition. nothing to spend on. Never been in any accidents. First to see will definitely buy More […],,,,Eon Era Buy in Kathmandu Nepal
Hyundai I20 Active 2015 Buy in Kathmandu Nepal,,"NRs 31,50,000",Single Handed Hyundai Active 2016 in brand new condition. Nothing to spend on. Never been in any accidents. Fresh as new. Tax and Insurance Included. […],,,,I20 Active Buy in Kathmandu Nepal
Hyundai i10 Grand magna 2014 buy in Kathmandu Nepal,,"NRs 19,75,000",Hyundai Grand i10 Magna in Near New Condition. Very Clean inside out condition. With Reverse camera also Value for money and cheap powerful hatchback of […],,,,i10 Grand magna buy in Kathmandu Nepal
Hyundai i20 Magna 2009 condition Buy in Kathmandu Nepal,,"NRs 15,00,000",HYUNDAI I20 Magna 2009 in immaculate condition. Nothing to spend on. Never been in any accidents. With Reverse Camera tax and insurance inclusive . Full […],,,,i20 Magna condition Buy in Kathmandu Nepal
Hyundai Santro GL 2010 Buy in Kathmandu Nepal,,"NRs 12,50,000",Single handed Hyundai Santro 2010 in Brand New condition. Nothing to spend on. Never been in any accidents. Low Km. Not a Single Scratch. Road […],,,,Santro GL Buy in Kathmandu Nepal
HYUNDAI I10 Magna 2010 Excellent condition,,"NRs 14,25,000","Single Handed Hyundai i10 Magna in Near Brand New Condition. Not a Single Scratch. Comes with Bluetooth HandsFree, Reverse Camera Road Tax and Insurance inclusive […]",,,,I10 Magna Excellent condition
Hyundai Grand I10 Magna 2015 (13K Kms OnlY)  Buy in Kathmandu Nepal,,"NRs 21,50,000","Single Handed Hyundai Grand i10 Magna in Near Brand New Condition. ONLY RUN-12990 Kms Not a Single Scratch. Comes with Bluetooth HandsFree, Reverse Camera and […]",,,,Grand I10 Magna 13K Kms OnlY Buy in Kathmandu Nepal
Excellent Condition Bolero SLX Full Option 2009,,"NRs 15,50,000","Excellent Condition, Mahindra Bolero SLX full option in excellent condition. First viewers will surely Buy it. Not to miss the test drive. Full Option Price […]",,,,Excellent Condition Bolero SLX Full Option
Hyundai i20 Magna 2009 condition Buy in Kathmandu Nepal,,"NRs 14,90,000",Single Handed HYUNDAI I20 Magna 2009 in immaculate condition. Nothing to spend on. Never been in any accidents. First to see will definitely buy it. […],,,,i20 Magna condition Buy in Kathmandu Nepal
Single Hand Maruti Suzuki A star Excellent Condition,,"NRs 11,50,000",Single Handed Maruti Suzuki AStar VXi in Excellent Condition. Nothing to Spend on. Never been in any accidents. First viewers luck will definitely shine.,,,,Hand A star Excellent Condition
Wagon R 2014 Excellent Condition,,"NRs 15,90,000",Single handed Maruti Suzuki Wagon R 2014 in brand new condition. Nothing to spend on. Never been in any accidents. With only 29000Km. Excellent Mileage’s […],,,,Wagon R Excellent Condition
Hyundai Grand i10 Magna 2014 Buy in Kathmandu Nepal,,"NRs 19,75,000","Single Handed Grand i10 Magna in excellent condition. Nothing to spend on. Never been in any accidents. No Maintenance required. Excellent resale value, low maintenance […]",,,,Grand i10 Magna Buy in Kathmandu Nepal
Ford Ecosport 1.5 Trend 2014 Diesel Buy in Kathmandu Nepal,,"NRs 29,50,000",Single Handed Ford EcoSport Trend 2014 in Brand New condition. Nothing to spend on. Never been in any accidents. Excellent Milage with Diesel power. Have […],,,,Ecosport 1.5 Trend Diesel Buy in Kathmandu Nepal
Volkswagen Polo 1.2 Trendline 2013 Buy in Kathmandu Nepal,,"NRs 16,50,000",Single Handed Volkswagen Polo 2013 Trendline in excellent condition. Nothing to spend on. Never been in any accidents. Excellent handelling.,,,,Polo 1.2 Trendline Buy in Kathmandu Nepal
Hyundai Grand i10 Asta 2014 Buy in Kathmandu Nepal,,"NRs 22,75,000",Single Handed Hyundai Grand i10 Asta in immaculate condition. Nothing to spend on. Never been in any accidents. Comes with Dash HD Cam worth Rs […],,,,Grand i10 Asta Buy in Kathmandu Nepal
Volkswagen Cross Polo 1.6 Petrol 2015 Buy in Kathmandu Nepal,,"NRs 26,50,000",Single Handed Cross Polo 2015 in immaculate condition. Nothing to spend on. Never been in any accidents. Excellent Handeling. With 15000 Km only. Comes with […],,,,Cross Polo 1.6 Petrol Buy in Kathmandu Nepal
Maruti Suzuki Wagon R VXI 2012 Buy in Kathmandu NepalBuy in Kathmandu Nepal,,"NRs 14,75,000",Single handed Maruti Suzuki Wagon R 2012 in brand new condition. Nothing to spend on. Never been in any accidents. With only 29000Km. Excellent milage. […],,,,Wagon R VXI Buy in Kathmandu NepalBuy in Kathmandu Nepal
Honda City 1.5 VXMT Buy in Kathmandu Nepal,,"NRs 29,00,000",Single Handed Honda City 1.5 VXMT in Brand New condition. Nothing to spend on. Never been in any major or minor accidents. Excellent Milage with […],,,,City 1.5 VXMT Buy in Kathmandu Nepal
Hyundai Getz 2007 Buy in Kathmandu Nepal,,"NRs 9,75,000",Hyundai Getz in excellent condition. Nothing to spend on. Never been in any accidents,,,,Getz Buy in Kathmandu Nepal
Hyundai Grand i10 Sportz 2015 Buy in Kathmandu Nepal,,"NRs 23,25,000",Single Handed Hyundai Grand i10 Sportz 2015 in excellent condition. Nothing to spend on. Never been in any accidents. Excellent resale value. With only 13000 […],,,,Grand i10 Sportz Buy in Kathmandu Nepal
Single Hand Hyundai Santro 2012 Buy in Kathmandu Nepal,,"NRs 14,25,000",Single handed Hyundai Santro 2012 in Brand New condition. Nothing to spend on. Never been in any accidents. Low Km.,,,,Hand Santro Buy in Kathmandu Nepal
Hyundai Eon Magna + 2015 Buy in Kathmandu Nepal,,"NRs 15,25,000","Single handed HYUNDAI Eon Magna plus 1000cc, 2015 in immaculate condition. nothing to spend on. Never been in any accidents. First to see will definitely […]",,,,Eon Magna  Buy in Kathmandu Nepal
Hyundai I20 Magna 2009 condition Buy in Kathmandu Nepal,,"NRs 15,25,000",Single Handed HYUNDAI I20 Magna 2009 in immaculate condition. Nothing to spend on. Never been in any accidents. First to see will definitely buy it. […],,,,I20 Magna condition Buy in Kathmandu Nepal
Ford Figo Titanium 2011 Buy in Kathmandu Nepal,,"NRs 13,50,000","Single Handed Ford Figo in excellent condition. Nothing to spend on. Never been in any accidents. Comes with Dual Airbags, ABS.",,,,Figo Titanium Buy in Kathmandu Nepal
Hyundai eon Era+ 2013 Buy in Kathmandu Nepal,,"NRs 13,00,000",Single handed HYUNDAI Eon era plus 2013 in immaculate condition. nothing to spend on. Never been in any accidents. First to see will definitely buy […],,,,eon Era Buy in Kathmandu Nepal
Hyundai i20 Sportz 2010 Buy in Kathmandu Nepal,,"NRs 15,75,000",Single handed HYUNDAI I20 SPORTZ 2010 in immaculate condition. nothing to spend on. Never been in any accidents. First to see will definitely buy it. […],,,,i20 Sportz Buy in Kathmandu Nepal
Suzuki Swift VXI 2010 Buy in Kathmandu Nepal,,"NRs 15,75,000",Single handed Suzuki swift in immaculate condition. nothing to spend on. Never been in any accidents. First to see will definitely buy it. Comes with […],,,,Swift VXI Buy in Kathmandu Nepal
Hyundai Grand i10 Magna 2014 Buy in Kathmandu Nepal,,"NRs 20,00,000",Single Handed Hyundai Grand i10 Magna 2014 in excellent condition. Nothing to spend on. Never been in any accidents. Excellent resale value. With only 22000 […],,,,Grand i10 Magna Buy in Kathmandu Nepal
Hyundai i20 Asta 2009 Buy in Kathmandu Nepal,,"NRs 15,75,000","i20 Asta 2009 in excellent condition. Nothing to spend on. Never been in any accidents. Comes with Dual Airbags, ABS, Alloy Wheels. A Perfect family […]",,,,i20 Asta Buy in Kathmandu Nepal
Honda City GXI 2004 Buy in Kathmandu Nepal,,"NRs 10,00,000",Honda City 2004 in excellent condition. Nothing to spend on. Never been in any accidents. Excellent condition sedan in cheap price.,,,,City GXI Buy in Kathmandu Nepal
Hyundai i10 Magna 1.2 2013 Buy in Kathmandu Nepal,,"NRs 17,25,000",Single handed hyundai i10 magna 1200 CC in brand new condition. Nothing to spend on. Never been in any accidents. Excellent resale value. First to […],,,,i10 Magna 1.2 Buy in Kathmandu Nepal
Kia Rio 2002 Buy in Kathmandu Nepal,,"NRs 5,25,000",Kia Rio in Excellent condition. Nothing to spend on. Never been in any accidents. Full option car for less price.,,,,Rio Buy in Kathmandu Nepal
Ford Figo EXI 2012 Buy in Kathmandu Nepal,,"NRs 13,25,000",Ford Figo in excellent condition. Nothing to spend on. Never been in any accidents. First to see will definitely buy it.,,,,Figo EXI Buy in Kathmandu Nepal
Ford Classic Fiesta Sxi Diesel Dual Air Bags ABS 2011,,"NRs 16,00,000",SingIe handed Ford fiesta dieseI in excellent condition. Nothing to spend on. Never been in any accidents. excellent miIage.,,,,Classic Fiesta Sxi Diesel Dual Air Bags ABS
Maruti Suzuki Wagon r VXI 2013 Buy in Kathmandu Nepal,,"NRs 15,00,000","SingIe handed Maruti Suzuki Wagon R in Brand New condition. Nothing to spend on. Excellent milage, low maintenance cost. Have run only 15000 Km. Best […]",,,,Wagon r VXI Buy in Kathmandu Nepal
Maruti Suzuki Astar ZXi 2010 Buy in Kathmandu Nepal,,"NRs 12,50,000",Single Handed Maruti Suzuki AStar ZXi in Excellent Condition. Nothing to Spend on. Never been in any accidents. Comes with Dual Air Bag and ABS.,,,,Astar ZXi Buy in Kathmandu Nepal
Volkswagen Polo 1.2 Trendline 2011 Buy in Kathmandu Nepal,,"NRs 16,00000",Single handed Volkswagen Polo Trendline 2011 in excellent condition. Nothing to spend on. Never been in any accidents.,,,,Polo 1.2 Trendline Buy in Kathmandu Nepal
Hyundai Santro Atos 2007 Buy in Kathmandu Nepal,,"NRs 8,50,000",Hyundai Atos in excellent condition. Nothing to spend on. Never been in any accidents. Comes with a/c.,,,,Santro Atos Buy in Kathmandu Nepal
Ford Figo 2011 Zxi Buy in Kathmandu Nepal,,"NRs 12,50,000",Ford Figo ZXI 2011 in excellent condition. Nothing to spend on. Never been in any accidents.,,,,Figo Zxi Buy in Kathmandu Nepal
Land Rover 2007 Freelander 2,,"NRs 75,00000","Land Rover 2007 Freelander 2 in Excellent condition. Nothing to spend on. Never been in any accidents. Fresh as new. Comes with Power Window , […]",,,,Land Rover Freelander 2
Volkswagen Polo 1.6 Highline 2013 Buy in in Kathmandu Nepal,,"NRs 23,00000",Volkswagen Polo 1.6 2013 Highline in Excellent condition. Nothing to spend on. Never been in any accidents. Fresh as new.,,,,Polo 1.6 Highline Buy in in Kathmandu Nepal
Hyundai I20 Elite 2015 1.2 Asta Buy in Kathmandu Nepal,,"NRs 28,00000","Single Handed Hyundai i20 Elite 2015 in Brand New condition. Nothing to spend on. Never been in any accidents. Comes with: Front Passenger Airbag, driver […]",,,,I20 Elite 1.2 Asta Buy in Kathmandu Nepal
Hyundai Eon Era+ 2013 Buy in Kathmandu Nepal,,"NRs 13,50,000",Single Handed Hyundai Eon Era+ 2013 in Brand New condition. Immaculate condition. Small and Zippy for city drive. Excellent Milage.,,,,Eon Era Buy in Kathmandu Nepal
Maruti Suzuki Alto Lx 800 2008 Buy in Kathmandu Nepal,,"NRs 8,50,000",Maruti Suzuki Alto in excellent condition. Nothing to spend on. Excellent milage. Cheap Maintenance.,,,,Alto Lx 800 Buy in Kathmandu Nepal
Hyundai Tucson GL 2008 Buy in Kathmandu Nepal,,"NRs 28,50,000","Hyundai Tucson CRDI With Dual Air Bags in excellent condition. Nothing to spend on. Never been in any accidents. Well maintained. Comes with: 4WD, ABS, […]",,,,Tucson GL Buy in Kathmandu Nepal
Volkswagen Polo 1.2 Highline 2013 Buy in in Kathmandu Nepal,,"NRs 21,00000",Single Handed Volkswagen Polo 1.2 2013 Highline in Excellent condition. Nothing to spend on. Never been in any accidents. Fresh as new.,,,,Polo 1.2 Highline Buy in in Kathmandu Nepal
Zotye 2010 Buy in Kathmandu Nepal,,"NRs 12,50,000",Single handed Zotye 2010 in excellent condition. Never been in any major accident. Nothing to spend on.,,,,Zotye Buy in Kathmandu Nepal
Hyundai I10 Magna 1.1 2011 Buy in Kathmandu Nepal,,"NRs 15,25,000","Hyundai i10 Magna 1.1 2011 in Excellent condition. Nothing to spend on. Never been in any accidents. Fresh as new. Excellent milage, low Maintenance cost",,,,I10 Magna 1.1 Buy in Kathmandu Nepal
Geely Sedan 2007 buy in Kathmandu Nepal,,"NRs 7,50,000","Single Handed Geely 2007 in Excellent condition. Nothing to spend on. Never been in any accidents. Fresh as new. Comes with ABS, Alloy Wheels, Air […]",,,,Geely Sedan buy in Kathmandu Nepal
Honda Jazz 2010 Buy in Kathmandu Nepal,,"NRs 15,75,000","Single Handed Honda Jazz 2010 in Excellent condition. Nothing to spend on. Never been in any accidents. Fresh as new. Comes with ABS, Alloy Wheels, […]",,,,Jazz Buy in Kathmandu Nepal
Toyota Corolla LX 2006 Buy in Kathmandu Nepal,,"NRs 22,50,000",Toyota Corolla Lx 2006 in Excellent condition. Nothing to spend on. Never been in any accidents. Fresh as new. Comes with Dual Air Bags,,,,Corolla LX Buy in Kathmandu Nepal
Hyundai I20 Magna 2010 Buy in Kathmandu Nepal,,"NRs 15,50,000",Single handed Hyundai I20 Magna 2010 in excellent condition. Nothing to spend on. Never been in any accidents.,,,,I20 Magna Buy in Kathmandu Nepal
Maruti Suzuki WagonR VXI 2009 Buy in Kathmandu Nepal,,"NRs 10,50,000",Single handed Suzuki WagonR VXI 2009 in Excellent condition. Nothing to spend on. Never been in any accidents. Excellent Milage.,,,,WagonR VXI Buy in Kathmandu Nepal
Kia Rio 2007 Buy in Kathmandu Nepal,,"NRs 10,75,000",SingIe Handed Kia Rio 2007 in ExceIIent condition. Nothing to spend on. Never been in any accidents.,,,,Rio Buy in Kathmandu Nepal
Spark LT 2009 Buy in Kathmandu Nepal,,"NRs 7,75,000",Chevrolet Spark LT in Excellent condition. Nothing to spend on. Never been in any accidents.,,,,Spark LT Buy in Kathmandu Nepal
Ford Figo 2010 Buy in Kathmandu Nepal,,"NRs 12,00000",Single Handed Ford Figo in excellent condition. Nothing to spend on. Never been in any accidents. Fresh as new.,,,,Figo Buy in Kathmandu Nepal
Hyundai Eon Era+ 2012 Buy in Kathmandu NepaI,,"NRs 12,75,000",Hyundai Eon Era+ in Brand New condition. Immaculate condition. Have run only 15000 KM. Small and Zippy for city drive. Excellent Milage.,,,,Eon Era Buy in Kathmandu NepaI
Honda City SMT 2009 Buy in Kathmandu Nepal,,"NRs 21,00,000",Honda city in excellent condition. Nothing to spend on. Never been in any accidents. Sporty look with great performance. Comes with Dual Aitbags ABS and […],,,,City SMT Buy in Kathmandu Nepal
Maruti Suzuki Vitara Brezza ZDI 2016 Buy in Kathmandu Nepal,,"NRs 38,00,000",Single Handed Suzuki Vitara Brezza ZDI 2016 in brand new condition. Nothing to spend on. Never been in any accidents. 2400 km Run only.,,,,Vitara Brezza ZDI Buy in Kathmandu Nepal
Volkswagen Vento 1.6 Highline 2013 Buy in Kathmandu Nepal,,"NRs 26,50,000","Volkswagen Vento 1.6 Highline 2013 in excellent condition. Nothing to spend on. Never been in any accidents. Comes with Dual Airbags, ABS, Alloy Wheels, Steering […]",,,,Vento 1.6 Highline Buy in Kathmandu Nepal
Hyundai i10 Magna 1.1 2011 Single Handed Buy in Kathmandu Nepal,,"NRs 15,25,000","Single Handed Hyundai i10 Magna 1.1 2011 in Excellent condition. Nothing to spend on. Never been in any accidents. Fresh as new. Excellent milage, low […]",,,,i10 Magna 1.1 Handed Buy in Kathmandu Nepal
Hyundai Santro 2002 Buy in Kathmandu Nepal,,"NRs 6,50,000",Hyundai Santro in excellent condition. Nothing to spend on. Never been in any accidents. Excellent car for the starter.,,,,Santro Buy in Kathmandu Nepal
Hyundai Grand i10 Magna 2014 Buy in Kathmandu Nepal,,"NRs 20,50,000",SingIe Hyundai Grand i10 Magna in Brand New condition. Nothing to spend on. Never been in any accidents. With onIy 22000 Km.,,,,Grand i10 Magna Buy in Kathmandu Nepal
Hyundai i10 Magna 2009 Buy in Kathmandu Nepal,,"NRs 13,50,000",Hyundai i10 Magna in excellent condition. Nothing to spend on. Never been in any accidents.,,,,i10 Magna Buy in Kathmandu Nepal
Mahindra Scorpio S4+ 4WD  2016 Buy in Kathmandu Nepal2014 Buy in Kathmandu Nepal,,"NRs 45,50,000","Single Handed Mahindra Scorpio S4+ 2016 With 4WD in Brand New condition. Comes with 4WD, Dual Airbags, ABS and Many More. Have run Only 14000 […]",,,,Scorpio S4 4WD Buy in Kathmandu Nepal2014 Buy in Kathmandu Nepal
Hyundai Santro GLS 2009 December  buy in Kathmandu Nepal,,"NRs 12,00,000",Single handed Hyundai Santro in Brand New condition. Nothing to spend on. Never been in any accidents. Low Km.,,,,Santro GLS December buy in Kathmandu Nepal
Hyundai i10 Magna 2008 Buy in Kathmandu Nepal,,"NRs 13,00000",Hyundai i10 Magna 2008 in excellent condition. Nothing to spend on. Never been in any accidents.,,,,i10 Magna Buy in Kathmandu Nepal
Hyundai i20 Sportz 2010 Buy in Kathmandu Nepal,,"NRs 16,25,000","Hyundai i20 Sportz 2010 in excellent condition. Nothing to spend on. Never been in any accidents. Comes with Air bags, Alloy Wheels.",,,,i20 Sportz Buy in Kathmandu Nepal
Hyundai I20 Elite 1.2 Asta Buy in Kathmandu Nepal,,"NRs 28,00000","Single Handed Hyundai i20 Elite in Brand New condition. Nothing to spend on. Never been in any accidents. Comes with: Front Passenger Airbag, driver Airbag, […]",,,,I20 Elite 1.2 Asta Buy in Kathmandu Nepal
Daihatsu Sirion 1.0 2009 Buy in Kathmandu Nepal,,"NRs 11,00000",Daihatsu Sirion 2009 in excellent condition. Nothing to spend on. Never been in any accidents. Comes with dual Airbag.,,,,Daihatsu Sirion 1.0 Buy in Kathmandu Nepal
Hyundai Santro 2006 Buy in Kathmandu Nepal,,"NRs 10,00000",Full option Hyundai Santro 2006 in excellent condition. Nothing to spend on. Never been in any accidents.,,,,Santro Buy in Kathmandu Nepal
Hyundai Eon Magna + 2014 Buy in Kathmandu Nepal,,"NRs 14,75,000",Single Handed Hyundai Eon Magna +2014 in Brand New condition. Immaculate condition. Excellent Milage.,,,,Eon Magna  Buy in Kathmandu Nepal
Hyundai Santro GL 2011 Buy in Kathmandu Nepal,,"NRs 12,50,000",Single Handed Hyundai Santro 2011 in excellent condition. Nothing to spend on. Never been in any accidents. Fresh as new.,,,,Santro GL Buy in Kathmandu Nepal
Hyundai Eon Era+ 2012 Buy in Kathmandu NepaI,,"NRs 13,50,000",Single Handed Hyundai Eon Era+ in Brand New condition. Still in its original paint. Immaculate condition. Have run only 8000KM. Small and Zippy for city […],,,,Eon Era Buy in Kathmandu NepaI
Honda City 1.5 MT 2012 Buy in Kathmandu Nepal,,"NRs 24,00000","Honda City 1.5 MT in immaculate condition. Nothing to spend on. Never been in any accidents. Comes with Dual Airbags, Alloy Wheels.",,,,City 1.5 MT Buy in Kathmandu Nepal
Hyundai i10 Magna 2009 Buy in Kathmandu Nepal,,"NRs 13,50,000",Single Handed Hyundai i10 Magna 2009 in excellent condition. Nothing to spend on. Never been in any accidents.,,,,i10 Magna Buy in Kathmandu Nepal
Hyundai Creta 1.6 SX Plus 2015 Buy in Kathmandu Nepal,,"NRs 45,00000",Single Handed Hyundai Creta 1.6 SX Plus 2015 in brand new condition. Nothing to spend on. Never been in any accidents. 11000 km Run only.,,,,Creta 1.6 SX Plus Buy in Kathmandu Nepal
