Model,Fuel Type,Price,Description,Kilometers Driven,Model Year,Brand,Year
2013 Hyundai I10,Tiptronic,"NRP1,650,000.00",,,,,2013
2019 Hyundai Santro Sportz,Tiptronic,"NRP2,250,000.00",,,,,2019
2016 Hyundai Creta Sx,Tiptronic,"NRP4,400,000.00",,,,,2016
2017 Hyundai Eon Magna,Tiptronic,"NRP1,625,000.00",,,,,2017
2018 Hyundai I10,Tiptronic,"NRP2,450,000.00",,,,,2018
2017 Hyundai Creta E,Tiptronic,"NRP3,600,000.00",,,,,2017
2016 Hyundai Creta Sx,Tiptronic,"NRP4,400,000.00",,,,,2016
2016 Hyundai I10,Tiptronic,"NRP2,650,000.00",,,,,2016
2015 Hyundai Eon Magna,Tiptronic,"NRP1,550,000.00",,,,,2015
2015 Hyundai I20,Tiptronic,"NRP2,650,000.00",,,,,2015
2010 Hyundai I20,Tiptronic,"NRP1,450,000.00",,,,,2010
2010 Hyundai I20,Tiptronic,"NRP1,550,000.00",,,,,2010
2019 Ford Figo Titanium,Tiptronic,"NRP2,700,000.00",,,,,2019
2018 Ford Ecosport,Tiptronic,"NRP2,625,000.00",,,,,2018
2014 Ford Figo Titanium,Tiptronic,"NRP1,225,000.00",,,,,2014
2020 Ford Figo Titanium,Tiptronic,"NRP2,150,000.00",,,,,2020
2017 Hyundai Grand,Tiptronic,"NRP2,750,000.00",,,,,2017
2018 Hyundai I20,Tiptronic,"NRP1,550,000.00",,,,,2018
2021 Suzuki Maruti Suzuki Baleno,Tiptronic,"NRP1,399,000.00",,,,,2021
2021 Hyundai Grand,Tiptronic,"NRP2,875,000.00",,,,,2021
2016 Suzuki Maruti Suzuki Baleno,Tiptronic,"NRP2,250,000.00",,,,,2016
2017 Hyundai Grand,Tiptronic,"NRP2,750,000.00",,,,,2017
2014 Ford Figo Titanium,Tiptronic,"NRP1,225,000.00",,,,,2014
2016 Suzuki Maruti Suzuki Baleno,Tiptronic,"NRP2,350,000.00",,,,,2016
2016 Ford Ecosport,Tiptronic,"NRP2,450,000.00",,,,,2016
2008 Suzuki Swift,Tiptronic,"NRP1,375,000.00",,,,,2008
2006 Suzuki Maruti Suzuki Baleno,Tiptronic,"NRP1,299,000.00",,,,,2006
2012 Hyundai Eon Era Plus,Tiptronic,"NRP1,275,000.00",,,,,2012
2021 Hyundai Verna,Tiptronic,"NRP3,450,000.00",,,,,2021
2010 Hyundai I20,Tiptronic,"NRP1,475,000.00",,,,,2010
2008 Suzuki Swift,Tiptronic,"NRP1,375,000.00",,,,,2008
2021 Isuzu Full Option Highlander,Tiptronic,"NRP3,650,000.00",,,,,2021
2017 Suzuki Maruti Suzuki Baleno,Tiptronic,"NRP2,399,000.00",,,,,2017
2014 Ford Ecosport,Tiptronic,"NRP2,425,000.00",,,,,2014
2013 Ford Fiesta,Manual,"NRP1,350,000.00",,,,,2013
2013 Toyota Etios,Manual,"NRP1,750,000.00",,,,,2013
2011 Mercedes Benz C200 Cgi Estate Elegance,Automatic,"NRP11,000,000.00",,,,,2011
2016 Hyundai Creta Sx,Automatic,"NRP3,975,000.00",,,,,2016
2016 Honda Civic,Automatic,"NRP6,850,000.00",,,,,2016
2009 Toyota Fortuner,Automatic,"NRP6,600,000.00",,,,,2009
2021 Mitsubishi Eclipse,Automatic,"NRP11,500,000.00",,,,,2021
2013 Land Rover Freelander,Automatic,"NRP11,000,000.00",,,,,2013
2010 Volkswagen Tiguan,Automatic,"NRP3,900,000.00",,,,,2010
